index,%time,positionX,positionY,theta
12308,251241000000,-1.9669164663599998,4.55022806176,-2.82420607741
12310,251284000000,-2.02210560671,4.52646268772,-2.8121451780699998
12313,251341000000,-2.1043347188999997,4.489550368080001,-2.7940515795999996
12316,251401000000,-2.18588352116,4.45117065483,-2.77595527934
12318,251441000000,-2.2398536570400003,4.42475635637,-2.76388948357
12320,251481000000,-2.29350320287,4.39769963817,-2.75182243592
12323,251541000000,-2.37335319595,4.35590272194,-2.73371952328
12326,251601000000,-2.4524269055900003,4.312655410950001,-2.71561411413
12327,251621000000,-2.4786097629799997,4.29792436495,-2.70957825694
12330,251681000000,-2.55661636052,4.25278444348,-2.6914693242400003
12332,251721000000,-2.60815943728,4.22190768946,-2.6793951951599997
12335,251781000000,-2.6847590771200003,4.174420425119999,-2.66128178193
12338,251841000000,-2.7604872511000003,4.12555814201,-2.64316601503
12340,251881000000,-2.8104739653500004,4.092222715819999,-2.6310871906999997
12343,251941000000,-2.88468744603,4.0410908577099995,-2.61296732941
12345,251981000000,-2.9336414532200004,4.00625766944,-2.60088601197
12348,252041000000,-3.00627199385,3.9529025988699997,-2.5827621667400003
12350,252081000000,-3.05414831569,3.9166032266800004,-2.57067823391
12353,252141000000,-3.12512912582,3.8610733652900002,-2.55255031047
12356,252201000000,-3.19508865051,3.8042627202900006,-2.53442046698
12357,252221000000,-3.2181775235799996,3.78504442172,-2.5283763936000003
12361,252301000000,-3.3093503265599997,3.70677540112,-2.50419858447
12363,252341000000,-3.35422109613,3.6668215516800005,-2.49210837183
12365,252381000000,-3.39859934385,3.62632043071,-2.48001739239
12368,252441000000,-3.46423901681,3.5645688014199997,-2.4618784156799998
12370,252481000000,-3.5073744654400003,3.5227475919699995,-2.44978488226
12373,252541000000,-3.57111903634,3.45904273631,-2.4316430871200003
12376,252601000000,-3.6336943964499997,3.39418893388,-2.41349912744
12378,252641000000,-3.67474543149,3.3503185080799995,-2.40140221193
12380,252681000000,-3.7152675401199997,3.3059600759400003,-2.38930444729
12383,252741000000,-3.7750347020199997,3.23850886524,-2.37115645719
12386,252801000000,-3.8335649431,3.16998120819,-2.35300646958
12388,252841000000,-3.8718883171199994,3.12370918911,-2.34090562038
12391,252901000000,-3.92831405001,3.0534377137599997,-2.32275284263
12393,252941000000,-3.9652102475699995,3.00601825401,-2.31065046995
12395,252981000000,-4.00153523781,2.9581605580400003,-2.29854683928
12398,253041000000,-4.05492759987,2.8855560769300004,-2.2803908204099996
12400,253081000000,-4.08978474939,2.8366181322900004,-2.26828581259
12403,253141000000,-4.1409509379800005,2.7624267303400005,-2.2501268416699998
12406,253201000000,-4.19075860561,2.68731570388,-2.23196704965
12408,253241000000,-4.22320078529,2.6367430069099997,-2.21985960599
12410,253281000000,-4.23919118872,2.61130983023,-2.2138055309
12413,253341000000,-4.30160117131,2.50862007152,-2.1895886397099997
12416,253401000000,-4.34674856235,2.4306137802900003,-2.17142480356
12418,253441000000,-4.37605734596,2.37815977062,-2.15931478516
12421,253501000000,-4.41883315734,2.2988281930900003,-2.1411489154799996
12423,253541000000,-4.446545132830001,2.24551297052,-2.1290380040200003
12426,253601000000,-4.4868950098400004,2.1649184382700004,-2.1108712024700003
12429,253661000000,-4.52576346817,2.08359696032,-2.09270330309
12433,253741000000,-4.5752839388,1.9740972919400002,-2.06847799476
12437,253821000000,-4.6221324706,1.8634256022799998,-2.04425182847
12441,253901000000,-4.66628134497,1.7516469429700001,-2.0200245613799996
12445,253981000000,-4.70769622975,1.63882320745,-1.9957960942900002
12449,254061000000,-4.74636908038,1.5250283676299998,-1.9715668447599999
12452,254121000000,-4.77354668106,1.4390792177,-1.9533940955200002
12456,254201000000,-4.80735258023,1.3237396265399999,-1.92916289308
12460,254281000000,-4.838340854519999,1.2076072046600002,-1.90493079366
12464,254361000000,-4.866501876419999,1.09075264531,-1.88069862783
12468,254441000000,-4.89182677032,0.9732507173389999,-1.8564661676099998
12472,254521000000,-4.914293031030001,0.855164173133,-1.83223355402
12475,254581000000,-4.92925848111,0.766258139193,-1.81405913773
12479,254661000000,-4.94669068947,0.647317745222,-1.7898267454099999
12483,254741000000,-4.9612226573800005,0.52798398937,-1.7655947281400002
12486,254801000000,-4.97022570591,0.43827011622,-1.7474206131799999
12490,254881000000,-4.9796783825699995,0.318419947891,-1.7231893579400004
12494,254961000000,-4.9862293946300005,0.198373003046,-1.69895947598
12497,255021000000,-4.98923020875,0.108250169496,-1.6807876504700001
12499,255061000000,-4.99031045982,0.048142200134500004,-1.6686741030399999
12501,255101000000,-4.9906614753300005,-0.011975615402600002,-1.65655971975
12503,255141000000,-4.99029230163,-0.0720936319251,-1.6444458495200003
12506,255201000000,-4.9883713869,-0.16225327459,-1.6262760763600002
12508,255241000000,-4.98617962758,-0.222335164777,-1.61416345639
12510,255281000000,-4.98325932881,-0.282387163169,-1.60205116231
12512,255322000000,-4.979610918540001,-0.342400479697,-1.58993921107
12515,255381000000,-4.97308861845,-0.432328481149,-1.57189821477
12517,255421000000,-4.96784912786,-0.492207654604,-1.55987406527
12520,255481000000,-4.95863765026,-0.5818954223030001,-1.54183495008
12523,255541000000,-4.94780596873,-0.671399931675,-1.52379265462
12525,255581000000,-4.93966830777,-0.73095247163,-1.51176261603
12527,255621000000,-4.93083114646,-0.790402692568,-1.49973109903
12530,255681000000,-4.91623267671,-0.8793659601970001,-1.4816810786599999
12532,255721000000,-4.90559819343,-0.9385198297149999,-1.46964599158
12534,255761000000,-4.89425088526,-0.9975402120010001,-1.45760946532
12537,255821000000,-4.87591025978,-1.0858036303,-1.43955199938
12540,255881000000,-4.855966115819999,-1.1737175210200002,-1.421491455
12542,255921000000,-4.84179320464,-1.23211984345,-1.4094492758700001
12545,255981000000,-4.81921462104,-1.31939052825,-1.39138348866
12547,256021000000,-4.80328583621,-1.3773368072,-1.37933778779
12550,256081000000,-4.7780759570699995,-1.46388207068,-1.3612669736200003
12552,256121000000,-4.76933352576,-1.49260510934,-1.3552266255399998
12555,256181000000,-4.742065065969999,-1.5784313813600002,-1.33723761125
12557,256221000000,-4.723017883480001,-1.63540184099,-1.3251858716299998
12560,256281000000,-4.69314197732,-1.72048353135,-1.30710584081
12563,256341000000,-4.66172621765,-1.80501559168,-1.28902268536
12564,256361000000,-4.65091858816,-1.8330497534799999,-1.28299441838
12568,256441000000,-4.60599454459,-1.9445332570700002,-1.25887779172
12570,256481000000,-4.58252656678,-1.9998540680599999,-1.24681755201
12572,256521000000,-4.5583916406,-2.05488608941,-1.23475586894
12575,256581000000,-4.520939171919999,-2.1368684066299997,-1.21666134364
12577,256621000000,-4.495153146630001,-2.1911412588099997,-1.20459668764
12580,256681000000,-4.45523985294,-2.27195136726,-1.1864974160600001
12582,256721000000,-4.42782496556,-2.32541823344,-1.1744297107
12584,256761000000,-4.399765348530001,-2.37854899115,-1.16236080059
12587,256821000000,-4.35647596547,-2.45759782787,-1.14425510501
12590,256881000000,-4.31175887839,-2.53584734912,-1.12614695347
12593,256941000000,-4.26561247615,-2.61326346879,-1.10803621983
12595,256981000000,-4.24992447099,-2.6388833482,-1.10199858346
12598,257041000000,-4.18561382738,-2.7403912725999997,-1.07784567526
12599,257061000000,-4.16915758068,-2.76552460528,-1.0718066460100002
12602,257121000000,-4.1188721887,-2.84031564533,-1.0536883293700001
12605,257181000000,-4.084594834780001,-2.8896617800300004,-1.04160782031
12607,257221000000,-4.03207636764,-2.96289990802,-1.02348557261
12610,257281000000,-3.9782360234099996,-3.03517127065,-1.00536075713
12613,257341000000,-3.9230913972800003,-3.10645193648,-0.9872335166480001
12614,257361000000,-3.90442312444,-3.1299879059299998,-0.981190632894
12618,257441000000,-3.8283344850199996,-3.22298748815,-0.9570168381049999
12621,257501000000,-3.7698011342199997,-3.2915117435,-0.938883653189
12623,257541000000,-3.7300836885300006,-3.33659303903,-0.9267937503370001
12625,257581000000,-3.68982274634,-3.3811895138300003,-0.9147029229479999
12627,257621000000,-3.6490313513999997,-3.4253001138599997,-0.902611141675
12630,257681000000,-3.58684192869,-3.4905250839599997,-0.8844719215119999
12632,257721000000,-3.5447254478199994,-3.53337342373,-0.872377935958
12636,257801000000,-3.45896300764,-3.61753422885,-0.848187324199
12638,257841000000,-3.41531577547,-3.6588225234900005,-0.8360906436409999
12640,257881000000,-3.37117771408,-3.6995845487400003,-0.823993131794
12643,257941000000,-3.3040516483399998,-3.7597165034699995,-0.8058456727050001
12645,257981000000,-3.2586978292,-3.79912178504,-0.7937463023479999
12647,258021000000,-3.21286925086,-3.8379741162300003,-0.7816461656329999
12651,258101000000,-3.11980829028,-3.9139906395999997,-0.757443659543
12653,258141000000,-3.0725896821200003,-3.9511434524,-0.745341325293
12655,258181000000,-3.02492366255,-3.9877207603,-0.733238302815
12658,258241000000,-2.9526099968599997,-4.04150605418,-0.7150823149969999
12659,258261000000,-2.92828928047,-4.05914098724,-0.709030171024
12663,258341000000,-2.8299493847500004,-4.12819587634,-0.684819590486
12665,258381000000,-2.78015784259,-4.16182350479,-0.672713299738
12667,258421000000,-2.7299616166000003,-4.19484459896,-0.660606409501
12670,258481000000,-2.65392460854,-4.24322833893,-0.642444848426
12673,258541000000,-2.5770187241299998,-4.29022032616,-0.624282173568
12675,258581000000,-2.52527794911,-4.32076738388,-0.6121730572640001
12678,258641000000,-2.4469753395700002,-4.3653978130599995,-0.594008589168
12681,258701000000,-2.36790238757,-4.40864120619,-0.5758426313270001
12683,258741000000,-2.34126542758,-4.42275776469,-0.569510527804
12685,258781000000,-2.2879221175,-4.4504272054000005,-0.5577267211370001
12688,258841000000,-2.207514739,-4.49059248531,-0.539559128744
12690,258881000000,-2.15333934031,-4.5166546654,-0.527446463068
12692,258921000000,-2.09884764604,-4.54205905584,-0.5153332443299999
12695,258981000000,-2.01654758668,-4.57890632009,-0.497162060506
12697,259021000000,-1.9613278070900002,-4.6026248893599995,-0.48504763217600005
12700,259081000000,-1.8779785032099998,-4.63695146616,-0.466875612504
12702,259121000000,-1.8220706751599998,-4.65899027935,-0.45476018843000005
12705,259181000000,-1.7377143742400003,-4.69076326194,-0.436585624293
12708,259241000000,-1.65279412163,-4.720994531700001,-0.41841148504000003
12710,259281000000,-1.59588264817,-4.74029323723,-0.406294583387
12714,259361000000,-1.4813763369400001,-4.77681153653,-0.38205982327699994
12718,259441000000,-1.3660146416799999,-4.81054003614,-0.357824531102
12723,259535000000,-1.27790804225,-4.83439692487,-0.337376318229
12726,259601000000,-1.1623870444700002,-4.86277326917,-0.315452866041
12730,259681000000,-1.04500854438,-4.88873569299,-0.291213475977
12735,259781000000,-0.897414621382,-4.91717980677,-0.26091239325300003
12738,259841000000,-0.808491632919,-4.9320852753199995,-0.242734674525
12742,259921000000,-0.7193081951420001,-4.94536079921,-0.22455392904
12746,260001000000,-0.570186942482,-4.9638856824,-0.194258896199
12750,260081000000,-0.450523058137,-4.9754346513300005,-0.170018605488
12754,260161000000,-0.330612487667,-4.98408560018,-0.145782733829
12757,260221000000,-0.240557426988,-4.98865412266,-0.127605618766
12761,260301000000,-0.120380488825,-4.992207102180001,-0.103372855932
12765,260381000000,-0.000147572161865,-4.99283457429,-0.0791406611131
12769,260461000000,0.120068886492,-4.9905543233800005,-0.054910693279800006
12773,260541000000,0.24019959904899998,-4.98534968375,-0.0306826305772
12778,260642000000,0.390133729775,-4.97507643148,-0.000527453825064
12779,260661000000,0.390133729775,-4.97507643148,-0.000527453825064
12782,260721000000,0.509815641968,-4.963792918259999,0.023522598024200002
12784,260761000000,0.569544538688,-4.95707003514,0.0355498245518
12787,260821000000,0.658973000011,-4.945627781040001,0.053593330262099996
12789,260861000000,0.7184698740530001,-4.93710785933,0.06562420521290001
12793,260941000000,0.837130592013,-4.91790965332,0.0896902664676
12794,260961000000,0.866720359428,-4.91266552449,0.0957077430766
12797,261021000000,0.955290223611,-4.89585464065,0.11376205870799999
12800,261081000000,1.0435393616700002,-4.87744367524,0.131819692901
12802,261121000000,1.10218054306,-4.86428955868,0.143859853242
12805,261181000000,1.18983139234,-4.8432248412300005,0.161922702424
12807,261221000000,1.24804716904,-4.82830748372,0.173966346355
12810,261281000000,1.33502125894,-4.80461641913,0.192034327903
